127.0.0.1, 2012-03-23 03:30:09, GET, /, HTTP/1.1, 303, 0.000846
127.0.0.1, 2012-03-23 03:30:11, GET, /welcome/default/index, HTTP/1.1, 200, 1.600518
127.0.0.1, 2012-03-23 03:30:21, GET, /admin/default/index, HTTP/1.1, 200, 0.239718
127.0.0.1, 2012-03-23 03:30:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
127.0.0.1, 2012-03-23 03:30:25, POST, /admin/default/index, HTTP/1.1, 303, 0.025757
127.0.0.1, 2012-03-23 03:30:25, GET, /admin/default/site, HTTP/1.1, 200, 0.076177
127.0.0.1, 2012-03-23 03:30:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000765
127.0.0.1, 2012-03-23 03:30:25, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.167430
127.0.0.1, 2012-03-23 03:30:25, POST, /admin/default/check_version, HTTP/1.1, 200, 0.209980
127.0.0.1, 2012-03-23 03:30:48, POST, /admin/default/site, HTTP/1.1, 303, 0.077055
127.0.0.1, 2012-03-23 03:30:48, GET, /admin/default/design/graykoolaid, HTTP/1.1, 200, 0.108644
127.0.0.1, 2012-03-23 03:30:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000299
127.0.0.1, 2012-03-23 03:30:55, GET, /admin/default/peek/graykoolaid/controllers/default.py, HTTP/1.1, 200, 0.042349
127.0.0.1, 2012-03-23 03:30:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000429
127.0.0.1, 2012-03-23 03:31:07, GET, /admin/default/edit/graykoolaid/controllers/default.py, HTTP/1.1, 200, 0.061748
127.0.0.1, 2012-03-23 03:31:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000290
127.0.0.1, 2012-03-23 03:31:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000414
127.0.0.1, 2012-03-23 03:31:17, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.028628
127.0.0.1, 2012-03-23 03:31:30, GET, /admin/default/design/graykoolaid, HTTP/1.1, 200, 0.061124
127.0.0.1, 2012-03-23 03:31:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000447
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/default/index, HTTP/1.1, 200, 0.755877
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000709
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/js/jquery.js, HTTP/1.1, 200, 0.001115
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/css/calendar.css, HTTP/1.1, 200, 0.001226
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/css/skeleton.css, HTTP/1.1, 200, 0.000441
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/js/web2py.js, HTTP/1.1, 200, 0.002009
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/js/calendar.js, HTTP/1.1, 200, 0.004886
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/css/superfish.css, HTTP/1.1, 200, 0.000547
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/css/web2py.css, HTTP/1.1, 200, 0.000503
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/js/superfish.js, HTTP/1.1, 200, 0.000539
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/images/poweredby.png, HTTP/1.1, 200, 0.000398
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/images/shadow.png, HTTP/1.1, 200, 0.000575
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.004139
127.0.0.1, 2012-03-23 03:31:35, GET, /graykoolaid/static/favicon.ico, HTTP/1.1, 200, 0.000430
127.0.0.1, 2012-03-23 03:31:42, GET, /graykoolaid/default/index, HTTP/1.1, 200, 0.030971
127.0.0.1, 2012-03-23 03:32:00, GET, /admin/default/peek/graykoolaid/controllers/default.py, HTTP/1.1, 200, 0.030291
127.0.0.1, 2012-03-23 03:32:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000422
127.0.0.1, 2012-03-23 03:32:02, GET, /admin/default/edit/graykoolaid/controllers/default.py, HTTP/1.1, 200, 0.031264
127.0.0.1, 2012-03-23 03:32:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000288
127.0.0.1, 2012-03-23 03:32:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000459
127.0.0.1, 2012-03-23 03:32:05, GET, /admin/default/design/graykoolaid, HTTP/1.1, 200, 0.074565
127.0.0.1, 2012-03-23 03:32:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000447
127.0.0.1, 2012-03-23 03:34:50, GET, /graykoolaid/default/index, HTTP/1.1, 200, 0.030249
127.0.0.1, 2012-03-23 03:34:50, GET, /graykoolaid/static/js/web2py.js, HTTP/1.1, 304, 0.000605
127.0.0.1, 2012-03-23 03:34:50, GET, /graykoolaid/static/css/calendar.css, HTTP/1.1, 304, 0.001375
